Amaurospiza moesta
Amazona brasiliensis
Amazona rhodocorytha
Amazona vinacea
Anabacerthia amaurotis
Anabazenops fuscus
Automolus leucophthalmus
Buteogallus lacernulatus
Calyptura cristata
Campephilus robustus
Carpornis cucullata
Celeus tinnunculus
Cichlocolaptes leucophrus
Cranioleuca pallida
Drymophila ferruginea
Drymophila genei
Drymophila malura
Drymophila ochropyga
Drymophila rubricollis
Dysithamnus plumbeus 
Dysithamnus xanthopterus
Eleoscytalopus psychopompus
Glaucidium minutissimum
Glaucis dohrnii
Haplospiza unicolor
Heliobletus contaminatus
Hemitriccus diops
Hemitriccus obsoletus
Hemitriccus orbitatus
Hylatomus galeatus
Hypoedaleus guttatus
Ilicura militaris
Jacamaralcyon tridactyla
Leptodon forbesi
Lipaugus lanioides
Merulaxis ater
Mionectes rufiventris
Myrmeciza loricata
Myrmotherula gularis
Myrmotherula minor
Myrmotherula snowi
Myrmotherula unicolor
Myrmotherula urosticta
Nemosia rourei
Neopelma aurifrons
Neopelma chrysolophum
Notharchus swainsoni
Odontophorus capueira
Onychorhynchus swainsoni
Phacellodomus erythrophthalmus
Phaethornis eurynome
Phaethornis idaliae
Phaethornis squalidus
Philydor atricapillus
Philydor lichtensteini
Phyllomyias virescens
Phylloscartes beckeri
Phylloscartes ceciliae
Phylloscartes difficilis
Phylloscartes oustaleti
Phylloscartes paulista
Phylloscartes sylviolus
Phylloscartes eximius
Piculus aurulentus
Picumnus temminckii
Piprites pileata
Platyrinchus leucoryphus
Procnias nudicollis
Pseudastur polionotus
Pteroglossus bailloni
Pyriglena atra
Pyrrhura cruentata
Pyrrhura griseipectus
Ramphodon naevius
Saltator fuliginosus
Saltator maxillosus
Schiffornis virescens
Sclerurus scansor
Scytalopus pachecoi
Scytalopus speluncae
Terenura maculata
Terenura sicki
Thamnophilus ambiguus
Tijuca atra
Tijuca condita
Tinamus solitarius
Xipholena atropurpurea
