species,date_of_search,Hasui_filtered,gbif_filtered,Hasui_clean1,gbif_clean1,merged_clean1,n_thin_5,n_thin_10,target_species,obs
Amazona vinacea,21/07/2020,80,1513,78,1331,0,0,0,0,
Automolus leucophthalmus,21/07/2020,735,9509,725,9080,0,0,0,0,
Baryphthengus ruficapillus,21/07/2020,285,7439,282,6884,0,0,0,0,
Celeus tinnunculus,21/07/2020,0,0,0,0,0,0,0,0,
Chiroxiphia caudata,21/07/2020,1313,23072,1277,21937,0,0,0,0,
Cyanocorax coeruleus,21/07/2020,0,0,0,0,0,0,0,0,
Drymophila malura,21/07/2020,286,3802,283,3579,0,0,0,0,
Dysithamnus plumbeus,21/07/2020,55,385,55,299,0,0,0,0,
Glaucidium minutissimum,21/07/2020,62,1706,61,1514,0,0,0,0,
Hemitriccus diops,21/07/2020,252,3667,248,3457,0,0,0,0,
Hylatomus galeatus,21/07/2020,0,0,0,0,0,0,0,0,
Laniisoma elegans,21/07/2020,102,321,94,260,0,0,0,0,
Machaeropterus regulus,21/07/2020,41,2403,39,1624,0,0,0,0,
Mitu mitu,21/07/2020,0,192,0,25,0,0,0,0,
Myrmotherula minor,21/07/2020,122,558,116,528,0,0,0,0,
Phaethornis eurynome,21/07/2020,416,8954,413,8655,0,0,0,0,
Phaethornis squalidus,21/07/2020,101,1838,99,1704,0,0,0,0,
Phylloscartes ceciliae,21/07/2020,0,282,0,277,0,0,0,0,
Pogonotriccus eximius,21/07/2020,0,0,0,0,0,0,0,0,
Procnias nudicollis,21/07/2020,394,7537,373,7021,0,0,0,0,
Sclerurus cearensis,21/07/2020,0,0,0,0,0,0,0,0,
Scytalopus gonzagaiÂ ,21/07/2020,0,0,0,0,0,0,0,0,
Selenidera maculirostris,21/07/2020,155,3610,153,3223,0,0,0,0,
Trogon aurantius,21/07/2020,0,7,0,0,0,0,0,0,
Glaucidium mooreorum,21/07/2020,2,0,2,0,1,1,1,0,
Cichlocolaptes mazarbarnetti,21/07/2020,0,16,0,16,7,3,3,0,
Lipaugus conditus,21/07/2020,3,0,3,0,3,3,3,0,
Calyptura cristata,21/07/2020,7,38,6,0,6,4,4,0,"criticamente ameaçada, so resta uns pontinhos de area no mapa"
Philydor novaesi,21/07/2020,0,41,0,41,13,6,4,0,extinta - endemica de alagoas
Myrmotherula snowi,21/07/2020,27,88,27,84,31,11,8,0,endemica de alagoas
Eleoscytalopus psychopompus,21/07/2020,3,80,3,78,29,13,10,0,endemica do sul da bahia
Nemosia rourei,21/07/2020,10,43,10,43,20,13,10,0,"criticamente ameaçada, so resta uns pontinhos de area no mapa"
Antilophia bokermanni,21/07/2020,2,282,2,282,53,18,11,0,"criticamente ameaçada, so resta uns pontinhos de area no mapa mtooo pequena no ceara"
Pyrrhura griseipectus,21/07/2020,0,376,0,371,108,13,11,0,"endangered, pequenas areas no mapa, mas distribuída em vários estados do nordeste"
Terenura sicki,21/07/2020,6,270,6,267,67,21,15,0,"criticamente ameaçada, so resta uns pontinhos de area no mapa, apesar da area ""possivelmente extinta"" ser extensa"
Lipaugus ater,21/07/2020,22,0,22,0,21,18,16,0,"least concern, pequena área no rio de janeiro e minas"
Automolus lammi,21/07/2020,24,149,23,144,54,28,22,1,"norte do nordeste, se estiverem bem distribuidos vale"
Phylloscartes beckeri,21/07/2020,12,201,12,197,51,27,23,1,"pequenas áreas na Bahia, mas bem distribuidas, acredito que seja a região de mata mesmo"
Pyriglena atra,21/07/2020,21,175,17,66,53,35,26,1,"endemica do norte do nordeste, pontos bem distribuidos vale"
Glaucis dohrnii,21/07/2020,29,401,29,389,93,37,27,1,
Leptodon forbesi,21/07/2020,0,236,0,226,73,35,27,1,
Cotinga maculata,21/07/2020,16,189,16,145,58,32,29,1,
Conopophaga cearae,21/07/2020,4,557,4,541,147,43,36,1,
Amazona brasiliensis,21/07/2020,56,719,35,517,125,55,39,1,
Onychorhynchus swainsoni,21/07/2020,66,0,64,0,63,54,46,1,
Phaethornis idaliae,21/07/2020,22,467,22,347,113,69,57,1,
Xipholena atropurpurea,21/07/2020,22,602,22,465,124,66,58,1,
Scytalopus pachecoi,21/07/2020,0,699,0,687,198,80,62,1,
Neopelma aurifrons,21/07/2020,116,251,112,176,135,79,64,1,
Jacamaralcyon tridactyla,21/07/2020,18,550,18,467,162,87,69,1,
Pyrrhura cruentata,21/07/2020,29,935,28,814,182,90,69,1,
Myrmotherula urosticta,21/07/2020,72,421,72,373,170,94,73,1,
Drymophila genei,21/07/2020,79,1422,79,1346,376,110,76,1,
Touit melanonotus,21/07/2020,38,429,35,393,176,104,79,1,
Piprites pileata,21/07/2020,36,868,36,840,247,116,88,1,
Touit surdus,21/07/2020,43,727,42,653,207,113,89,1,
Dysithamnus xanthopterus,21/07/2020,79,1157,79,1098,373,141,96,1,
Platyrinchus leucoryphus,21/07/2020,91,417,87,374,214,120,96,1,
Phylloscartes sylviolus,21/07/2020,48,1071,46,1021,282,127,99,1,
Phylloscartes difficilis,21/07/2020,83,1418,83,1366,410,145,100,1,
Hypoedaleus guttatus,21/07/2020,206,0,202,0,164,124,104,1,
Amazona rhodocorytha,21/07/2020,60,1143,57,1049,275,140,108,1,
Phylloscartes paulista,21/07/2020,102,1504,99,1461,378,149,114,1,
Merulaxis ater,21/07/2020,158,1942,150,1859,466,173,117,1,
Buteogallus lacernulatus,21/07/2020,0,864,0,827,293,169,136,1,
Neopelma chrysolophum,21/07/2020,120,1681,117,1652,521,197,140,1,
Lipaugus lanioides,21/07/2020,131,1619,126,1539,426,188,143,1,
