species,lon,lat,source
Philydor atricapillus,-48.583333,-24.583333,Hasui
Anabazenops fuscus,-48.583333,-24.583333,Hasui
Sclerurus scansor,-49.8,-23.85,Hasui
Schiffornis virescens,-49.8,-23.85,Hasui
Rhopias gularis,-44.1167,-22.5333,Hasui
Cranioleuca pallida,-48.4,-22.783333,Hasui
Phylloscartes paulista,-48.4,-22.783333,Hasui
Drymophila ochropyga,-42.65,-20.833333,Hasui
Mionectes rufiventris,-51.416667,-24.916667,Hasui
Sclerurus scansor,-51.416667,-24.916667,Hasui
Schiffornis virescens,-51.416667,-24.916667,Hasui
Sclerurus scansor,-50.666667,-26.083333,Hasui
Heliobletus contaminatus,-50.666667,-26.083333,Hasui
Anabacerthia lichtensteini,-50.333333,-21.3,Hasui
Philydor atricapillus,-50.866667,-21.233333,Hasui
Anabacerthia lichtensteini,-50.866667,-21.233333,Hasui
Sclerurus scansor,-50.866667,-21.233333,Hasui
Schiffornis virescens,-50.866667,-21.233333,Hasui
Cranioleuca pallida,-43.7003,-22.2456,Hasui
Philydor atricapillus,-45.0711,-23.4339,Hasui
Sclerurus scansor,-45.0711,-23.4339,Hasui
Myrmotherula unicolor,-45.0711,-23.4339,Hasui
Hemitriccus orbitatus,-45.0711,-23.4339,Hasui
Schiffornis virescens,-45.0711,-23.4339,Hasui
Lipaugus lanioides,-45.0711,-23.4339,Hasui
Mionectes rufiventris,-45.066667,-23.433333,Hasui
Hypoedaleus guttatus,-51.533333,-24.966667,Hasui
Mionectes rufiventris,-47.716667,-23.1,Hasui
Anabazenops fuscus,-45.066667,-23.433333,Hasui
Heliobletus contaminatus,-45.066667,-23.433333,Hasui
Sclerurus scansor,-45.066667,-23.433333,Hasui
Terenura maculata,-45.066667,-23.433333,Hasui
Myrmotherula unicolor,-45.066667,-23.433333,Hasui
Rhopias gularis,-45.066667,-23.433333,Hasui
Merulaxis ater,-45.066667,-23.433333,Hasui
Hemitriccus orbitatus,-45.066667,-23.433333,Hasui
Ilicura militaris,-45.066667,-23.433333,Hasui
Schiffornis virescens,-45.066667,-23.433333,Hasui
Carpornis cucullata,-45.066667,-23.433333,Hasui
Drymophila ochropyga,-46.5522,-23.2439,Hasui
Rhopias gularis,-46.5522,-23.2439,Hasui
Mionectes rufiventris,-46.5522,-23.2439,Hasui
Schiffornis virescens,-46.5522,-23.2439,Hasui
Neopelma chrysolophum,-42.983333,-22.433333,Hasui
Anabazenops fuscus,-42.983333,-22.433333,Hasui
Cranioleuca pallida,-42.983333,-22.433333,Hasui
Cichlocolaptes leucophrus,-42.983333,-22.433333,Hasui
Heliobletus contaminatus,-42.983333,-22.433333,Hasui
Sclerurus scansor,-42.983333,-22.433333,Hasui
Drymophila ochropyga,-42.983333,-22.433333,Hasui
Mionectes rufiventris,-42.983333,-22.433333,Hasui
Schiffornis virescens,-42.983333,-22.433333,Hasui
Lipaugus lanioides,-42.983333,-22.433333,Hasui
Anabacerthia amaurotis,-43,-22.45,Hasui
Philydor atricapillus,-43,-22.45,Hasui
Anabazenops fuscus,-43,-22.45,Hasui
Sclerurus scansor,-43,-22.45,Hasui
Rhopias gularis,-43,-22.45,Hasui
Dysithamnus xanthopterus,-43,-22.45,Hasui
Onychorhynchus swainsoni,-43,-22.45,Hasui
Phylloscartes oustaleti,-43,-22.45,Hasui
Ilicura militaris,-43,-22.45,Hasui
Schiffornis virescens,-43,-22.45,Hasui
Carpornis cucullata,-43,-22.45,Hasui
Drymophila ochropyga,-51.083333,-24.75,Hasui
Phylloscartes difficilis,-51.083333,-24.75,Hasui
Saltator fuliginosus,-51.083333,-24.75,Hasui
Sclerurus scansor,-51.083333,-24.75,Hasui
Mionectes rufiventris,-51.083333,-24.75,Hasui
Schiffornis virescens,-51.083333,-24.75,Hasui
Onychorhynchus swainsoni,-41.5,-17.85,Hasui
Philydor atricapillus,-52.633333,-22.316667,Hasui
Anabacerthia lichtensteini,-52.633333,-22.316667,Hasui
Sclerurus scansor,-52.633333,-22.316667,Hasui
Mionectes rufiventris,-52.633333,-22.316667,Hasui
Onychorhynchus swainsoni,-52.633333,-22.316667,Hasui
Hemitriccus orbitatus,-52.633333,-22.316667,Hasui
Schiffornis virescens,-52.633333,-22.316667,Hasui
Drymophila ochropyga,-46.766667,-23.616667,Hasui
Rhopias gularis,-46.766667,-23.616667,Hasui
Schiffornis virescens,-46.766667,-23.616667,Hasui
Neopelma chrysolophum,-42.683333,-22.05,Hasui
Neopelma aurifrons,-40.155278,-19.021944,Hasui
Philydor atricapillus,-49.7,-29.2,Hasui
Mionectes rufiventris,-51.966667,-26.033333,Hasui
Schiffornis virescens,-51.966667,-26.033333,Hasui
Cichlocolaptes leucophrus,-48.133333,-24.316667,Hasui
Mionectes rufiventris,-48.133333,-24.316667,Hasui
Philydor atricapillus,-47.816667,-24.333333,Hasui
Myrmotherula unicolor,-47.816667,-24.333333,Hasui
Mionectes rufiventris,-47.816667,-24.333333,Hasui
Hemitriccus orbitatus,-47.816667,-24.333333,Hasui
Ilicura militaris,-47.816667,-24.333333,Hasui
Schiffornis virescens,-47.816667,-24.333333,Hasui
Philydor atricapillus,-47.85,-24.266667,Hasui
Anabacerthia lichtensteini,-47.85,-24.266667,Hasui
Sclerurus scansor,-47.85,-24.266667,Hasui
Myrmotherula unicolor,-47.85,-24.266667,Hasui
Mionectes rufiventris,-47.85,-24.266667,Hasui
Phylloscartes oustaleti,-47.85,-24.266667,Hasui
Hemitriccus orbitatus,-47.85,-24.266667,Hasui
Ilicura militaris,-47.85,-24.266667,Hasui
Schiffornis virescens,-47.85,-24.266667,Hasui
Lipaugus lanioides,-47.85,-24.266667,Hasui
Philydor atricapillus,-47.833333,-24.3,Hasui
Myrmotherula unicolor,-47.833333,-24.3,Hasui
Hemitriccus orbitatus,-47.833333,-24.3,Hasui
Ilicura militaris,-47.833333,-24.3,Hasui
Schiffornis virescens,-47.833333,-24.3,Hasui
Myrmotherula unicolor,-48.080833,-24.235833,Hasui
Cichlocolaptes leucophrus,-47.85,-24.316667,Hasui
Anabacerthia lichtensteini,-47.85,-24.316667,Hasui
Hemitriccus orbitatus,-47.85,-24.316667,Hasui
Lipaugus lanioides,-47.85,-24.316667,Hasui
Haplospiza unicolor,-47.9167,-24.3833,Hasui
Anabacerthia lichtensteini,-41.694757,-22.016421,Hasui
Philydor atricapillus,-46.716667,-22.6,Hasui
Ilicura militaris,-46.716667,-22.6,Hasui
Anabacerthia amaurotis,-46.616667,-23.966667,Hasui
Philydor atricapillus,-46.616667,-23.966667,Hasui
Cichlocolaptes leucophrus,-46.616667,-23.966667,Hasui
Anabacerthia lichtensteini,-46.616667,-23.966667,Hasui
Sclerurus scansor,-46.616667,-23.966667,Hasui
Drymophila ochropyga,-46.616667,-23.966667,Hasui
Myrmotherula unicolor,-46.616667,-23.966667,Hasui
Rhopias gularis,-46.616667,-23.966667,Hasui
Dysithamnus xanthopterus,-46.616667,-23.966667,Hasui
Merulaxis ater,-46.616667,-23.966667,Hasui
Mionectes rufiventris,-46.616667,-23.966667,Hasui
Phylloscartes oustaleti,-46.616667,-23.966667,Hasui
Hemitriccus orbitatus,-46.616667,-23.966667,Hasui
Ilicura militaris,-46.616667,-23.966667,Hasui
Schiffornis virescens,-46.616667,-23.966667,Hasui
Carpornis cucullata,-46.616667,-23.966667,Hasui
Lipaugus lanioides,-46.616667,-23.966667,Hasui
Merulaxis ater,-46.5,-23.966667,Hasui
Ilicura militaris,-46.5,-23.966667,Hasui
