species,date_of_search,Hasui_filtered,gbif_filtered,Hasui_clean1,gbif_clean1,merged_clean1
Amazona brasiliensis,2020-07-21,56,719,35,518,182
Amazona rhodocorytha,2020-07-21,60,1143,57,1056,373
Amazona vinacea,2020-07-21,80,1513,78,1333,690
Anabacerthia amaurotis,2020-07-21,227,1488,225,1437,760
Anabacerthia lichtensteini,2020-07-21,199,4307,192,4250,1756
Anabazenops fuscus,2020-07-21,245,3829,241,3694,1443
Antilophia bokermanni,2020-07-21,2,282,2,282,87
Arremon semitorquatus,2020-07-21,42,1787,41,1746,727
Automolus lammi,2020-07-21,24,149,23,144,85
Automolus leucophthalmus,2020-07-21,735,9509,725,9184,3690
Baryphthengus ruficapillus,2020-07-21,285,7439,282,6928,2759
Buteogallus lacernulatus,2020-07-21,0,864,0,828,428
Calyptura cristata,2020-07-21,7,38,6,0,6
Campephilus robustus,2020-07-21,263,3840,253,3642,1850
Carpornis cucullata,2020-07-21,215,3798,209,3682,1363
Celeus tinnunculus,2020-07-21,0,0,0,0,0
Chiroxiphia caudata,2020-07-21,1313,23072,1277,21947,7905
Cichlocolaptes leucophrus,2020-07-21,187,2678,182,2582,1049
Cichlocolaptes mazarbarnetti,2020-07-21,0,16,0,16,9
Conopophaga cearae,2020-07-21,4,557,4,541,199
Cotinga maculata,2020-07-21,16,189,16,145,75
Cranioleuca pallida,2020-07-21,355,8681,351,8571,2729
Cyanocorax coeruleus,2020-07-21,0,0,0,0,0
Drymophila ferruginea,2020-07-21,284,6559,268,6198,2159
Drymophila genei,2020-07-21,79,1422,79,1346,613
Drymophila malura,2020-07-21,286,3802,283,3579,1650
Drymophila ochropyga,2020-07-21,333,2858,327,2725,1278
Drymophila rubricollis,2020-07-21,122,2604,120,2512,1082
Dysithamnus plumbeus,2020-07-21,55,385,55,303,164
Dysithamnus xanthopterus,2020-07-21,79,1157,79,1098,594
Eleoscytalopus psychopompus,2020-07-21,3,80,3,78,39
Glaucidium minutissimum,2020-07-21,62,1706,61,1539,649
Glaucidium mooreorum,2020-07-21,2,0,2,0,1
Glaucis dohrnii,2020-07-21,29,401,29,389,120
Haplospiza unicolor,2020-07-21,383,2694,377,2419,1333
Heliobletus contaminatus,2020-07-21,269,2928,268,2701,1339
Hemitriccus diops,2020-07-21,252,3667,248,3459,1496
Hemitriccus obsoletus,2020-07-21,121,1296,120,1254,596
Hemitriccus orbitatus,2020-07-21,414,2630,394,2537,1272
Hylatomus galeatus,2020-07-21,0,0,0,0,0
Hypoedaleus guttatus,2020-07-21,206,0,202,0,178
Ilicura militaris,2020-07-21,346,5820,338,5616,2205
Jacamaralcyon tridactyla,2020-07-21,18,550,18,469,233
Laniisoma elegans,2020-07-21,102,321,94,260,226
Leptodon forbesi,2020-07-21,0,236,0,226,100
Lipaugus ater,2020-07-21,22,0,22,0,22
Lipaugus conditus,2020-07-21,3,0,3,0,3
Lipaugus lanioides,2020-07-21,131,1619,126,1539,577
Machaeropterus regulus,2020-07-21,41,2403,39,1713,621
Merulaxis ater,2020-07-21,158,1942,150,1859,735
Mionectes rufiventris,2020-07-21,609,5688,587,5421,2673
Mitu mitu,2020-07-21,0,192,0,32,19
Myrmoderus loricatus,2020-07-21,138,1477,130,1436,673
Myrmotherula minor,2020-07-21,122,558,116,528,346
Myrmotherula snowi,2020-07-21,27,88,27,84,58
Myrmotherula unicolor,2020-07-21,197,2631,178,2509,956
Myrmotherula urosticta,2020-07-21,72,421,72,373,210
Nemosia rourei,2020-07-21,10,43,10,43,26
Neopelma aurifrons,2020-07-21,116,251,112,177,168
Neopelma chrysolophum,2020-07-21,120,1681,117,1652,738
Notharchus swainsoni,2020-07-21,19,1219,18,1157,553
Odontophorus capueira,2020-07-21,261,3416,258,3184,1564
Onychorhynchus swainsoni,2020-07-21,66,0,64,0,63
Phacellodomus erythrophthalmus,2020-07-21,60,3137,60,3021,1122
Phaethornis eurynome,2020-07-21,416,8954,413,8700,3225
Phaethornis idaliae,2020-07-21,22,467,22,347,160
Phaethornis squalidus,2020-07-21,101,1838,99,1704,643
Philydor atricapillus,2020-07-21,383,4988,359,4650,2005
Philydor novaesi,2020-07-21,0,41,0,41,19
Phyllomyias virescens,2020-07-21,78,2105,75,1978,927
Phylloscartes beckeri,2020-07-21,12,201,12,197,78
Phylloscartes ceciliae,2020-07-21,0,282,0,277,80
Phylloscartes difficilis,2020-07-21,83,1418,83,1366,614
Phylloscartes oustaleti,2020-07-21,164,1798,159,1758,626
Phylloscartes paulista,2020-07-21,102,1504,99,1461,547
Phylloscartes sylviolus,2020-07-21,48,1071,46,1021,398
Piculus aurulentus,2020-07-21,178,3396,177,3282,1615
Picumnus temminckii,2020-07-21,279,10378,275,10042,3422
Piprites pileata,2020-07-21,36,868,36,840,392
Platyrinchus leucoryphus,2020-07-21,91,417,87,374,274
Pogonotriccus eximius,2020-07-21,0,0,0,0,0
Procnias nudicollis,2020-07-21,394,7537,373,7021,2872
Pseudastur polionotus,2020-07-21,76,1036,71,1010,569
Pteroglossus bailloni,2020-07-21,147,2477,145,2411,1015
Pyriglena atra,2020-07-21,21,175,17,68,62
Pyrrhura cruentata,2020-07-21,29,935,28,814,263
Pyrrhura griseipectus,2020-07-21,0,376,0,371,151
Ramphodon naevius,2020-07-21,169,5944,160,5600,1625
Rhopias gularis,2020-07-21,297,5227,286,5078,1821
Saltator fuliginosus,2020-07-21,327,4040,319,3886,1630
Saltator maxillosus,2020-07-21,57,1656,56,1599,739
Schiffornis virescens,2020-07-21,667,9948,651,9635,3884
Sclerurus cearensis,2020-07-21,0,0,0,0,0
Sclerurus scansor,2020-07-21,447,4075,441,3880,1947
Scytalopus gonzagai ,2020-07-21,0,0,0,0,0
Scytalopus pachecoi,2020-07-21,0,699,0,687,302
Scytalopus speluncae,2020-07-21,165,2980,164,2792,1214
Selenidera maculirostris,2020-07-21,155,3610,153,3238,1471
Terenura maculata,2020-07-21,145,6094,131,5935,1899
Terenura sicki,2020-07-21,6,270,6,267,100
Thamnophilus ambiguus,2020-07-21,43,2732,43,2249,949
Thlypopsis pyrrhocoma,2020-07-21,0,2214,0,2213,1020
Tinamus solitarius,2020-07-21,239,3719,233,3482,1427
Touit melanonotus,2020-07-21,38,429,35,393,228
Touit surdus,2020-07-21,43,727,42,653,289
Trogon aurantius,2020-07-21,0,7,0,0,0
Xipholena atropurpurea,2020-07-21,22,602,22,465,168
