species,date_of_search,Hasui_filtered,gbif_filtered,Hasui_clean1,gbif_clean1,merged_clean1,n_thin_5,n_thin_10
Amazona brasiliensis,2020-07-21,56,719,35,517,125,55,39
Amazona rhodocorytha,2020-07-21,60,1143,57,1049,275,140,108
Amazona vinacea,2020-07-21,80,1513,78,1331,0,0,0
Anabacerthia amaurotis,2020-07-21,227,1488,225,1435,514,256,187
Anabacerthia lichtensteini,2020-07-21,199,4307,192,4246,1106,473,343
Anabazenops fuscus,2020-07-21,245,3829,241,3689,987,377,257
Antilophia bokermanni,2020-07-21,2,282,2,282,53,18,11
Arremon semitorquatus,2020-07-21,42,1787,41,1744,542,255,186
Automolus lammi,2020-07-21,24,149,23,144,54,28,22
Automolus leucophthalmus,2020-07-21,735,9509,725,9080,0,0,0
Baryphthengus ruficapillus,2020-07-21,285,7439,282,6884,0,0,0
Buteogallus lacernulatus,2020-07-21,0,864,0,827,293,169,136
Calyptura cristata,2020-07-21,7,38,6,0,6,4,4
Campephilus robustus,2020-07-21,263,3840,253,3642,1277,677,534
Carpornis cucullata,2020-07-21,215,3798,209,3682,988,390,259
Celeus tinnunculus,2020-07-21,0,0,0,0,0,0,0
Chiroxiphia caudata,2020-07-21,1313,23072,1277,21937,0,0,0
Cichlocolaptes leucophrus,2020-07-21,187,2678,182,2544,681,312,224
Cichlocolaptes mazarbarnetti,2020-07-21,0,16,0,16,7,3,3
Conopophaga cearae,2020-07-21,4,557,4,541,147,43,36
Cotinga maculata,2020-07-21,16,189,16,145,58,32,29
Cranioleuca pallida,2020-07-21,355,8681,351,8571,1862,607,401
Cyanocorax coeruleus,2020-07-21,0,0,0,0,0,0,0
Drymophila ferruginea,2020-07-21,284,6559,268,6195,1486,556,397
Drymophila genei,2020-07-21,79,1422,79,1346,376,110,76
Drymophila malura,2020-07-21,286,3802,283,3579,0,0,0
Drymophila ochropyga,2020-07-21,333,2858,327,2721,899,406,289
Drymophila rubricollis,2020-07-21,122,2604,120,2511,726,292,214
Dysithamnus plumbeus,2020-07-21,55,385,55,299,0,0,0
Dysithamnus xanthopterus,2020-07-21,79,1157,79,1098,373,141,96
Eleoscytalopus psychopompus,2020-07-21,3,80,3,78,29,13,10
Glaucidium minutissimum,2020-07-21,62,1706,61,1514,0,0,0
Glaucidium mooreorum,2020-07-21,2,0,2,0,1,1,1
Glaucis dohrnii,2020-07-21,29,401,29,389,93,37,27
Haplospiza unicolor,2020-07-21,383,2694,377,2413,981,537,403
Heliobletus contaminatus,2020-07-21,269,2928,268,2690,925,443,330
Hemitriccus diops,2020-07-21,252,3667,248,3457,0,0,0
Hemitriccus obsoletus,2020-07-21,121,1296,120,1234,427,213,155
Hemitriccus orbitatus,2020-07-21,414,2630,394,2536,938,438,317
Hylatomus galeatus,2020-07-21,0,0,0,0,0,0,0
Hypoedaleus guttatus,2020-07-21,206,0,202,0,164,124,104
Ilicura militaris,2020-07-21,346,5820,338,5616,1542,602,399
Jacamaralcyon tridactyla,2020-07-21,18,550,18,467,162,87,69
Laniisoma elegans,2020-07-21,102,321,94,260,0,0,0
Leptodon forbesi,2020-07-21,0,236,0,226,73,35,27
Lipaugus ater,2020-07-21,22,0,22,0,21,18,16
Lipaugus conditus,2020-07-21,3,0,3,0,3,3,3
Lipaugus lanioides,2020-07-21,131,1619,126,1539,426,188,143
Machaeropterus regulus,2020-07-21,41,2403,39,1624,0,0,0
Merulaxis ater,2020-07-21,158,1942,150,1859,466,173,117
Mionectes rufiventris,2020-07-21,609,5688,587,5417,1876,883,610
Mitu mitu,2020-07-21,0,192,0,25,0,0,0
Myrmoderus loricatus,2020-07-21,138,1477,130,1433,431,210,155
Myrmotherula minor,2020-07-21,122,558,116,528,0,0,0
Myrmotherula snowi,2020-07-21,27,88,27,84,31,11,8
Myrmotherula unicolor,2020-07-21,197,2631,178,2508,658,258,174
Myrmotherula urosticta,2020-07-21,72,421,72,373,170,94,73
Nemosia rourei,2020-07-21,10,43,10,43,20,13,10
Neopelma aurifrons,2020-07-21,116,251,112,176,135,79,64
Neopelma chrysolophum,2020-07-21,120,1681,117,1652,521,197,140
Notharchus swainsoni,2020-07-21,19,1219,18,1142,328,184,144
Odontophorus capueira,2020-07-21,261,3416,258,3143,1093,551,416
Onychorhynchus swainsoni,2020-07-21,66,0,64,0,63,54,46
Phacellodomus erythrophthalmus,2020-07-21,60,3137,60,3018,768,289,197
Phaethornis eurynome,2020-07-21,416,8954,413,8655,0,0,0
Phaethornis idaliae,2020-07-21,22,467,22,347,113,69,57
Phaethornis squalidus,2020-07-21,101,1838,99,1704,0,0,0
Philydor atricapillus,2020-07-21,383,4988,359,4646,1332,549,385
Philydor novaesi,2020-07-21,0,41,0,41,13,6,4
Phyllomyias virescens,2020-07-21,78,2105,75,1923,666,391,311
Phylloscartes beckeri,2020-07-21,12,201,12,197,51,27,23
Phylloscartes ceciliae,2020-07-21,0,282,0,277,0,0,0
Phylloscartes difficilis,2020-07-21,83,1418,83,1366,410,145,100
Phylloscartes oustaleti,2020-07-21,164,1798,159,1758,467,204,145
Phylloscartes paulista,2020-07-21,102,1504,99,1461,378,149,114
Phylloscartes sylviolus,2020-07-21,48,1071,46,1021,282,127,99
Piculus aurulentus,2020-07-21,178,3396,177,3282,1153,583,438
Picumnus temminckii,2020-07-21,279,10378,275,10042,2385,869,579
Piprites pileata,2020-07-21,36,868,36,840,247,116,88
Platyrinchus leucoryphus,2020-07-21,91,417,87,374,214,120,96
Pogonotriccus eximius,2020-07-21,0,0,0,0,0,0,0
Procnias nudicollis,2020-07-21,394,7537,373,7021,0,0,0
Pseudastur polionotus,2020-07-21,76,1036,71,1010,404,236,174
Pteroglossus bailloni,2020-07-21,147,2477,145,2411,662,336,245
Pyriglena atra,2020-07-21,21,175,17,66,53,35,26
Pyrrhura cruentata,2020-07-21,29,935,28,814,182,90,69
Pyrrhura griseipectus,2020-07-21,0,376,0,371,108,13,11
Ramphodon naevius,2020-07-21,169,5944,160,5599,1132,359,228
Rhopias gularis,2020-07-21,297,5227,286,5067,1233,422,273
Saltator fuliginosus,2020-07-21,327,4040,319,3882,1158,495,375
Saltator maxillosus,2020-07-21,57,1656,56,1599,520,265,204
Schiffornis virescens,2020-07-21,667,9948,651,9627,2752,1155,820
Sclerurus cearensis,2020-07-21,0,0,0,0,0,0,0
Sclerurus scansor,2020-07-21,447,4075,441,3799,1375,688,507
Scytalopus gonzagai ,2020-07-21,0,0,0,0,0,0,0
Scytalopus pachecoi,2020-07-21,0,699,0,687,198,80,62
Scytalopus speluncae,2020-07-21,165,2980,164,2792,846,354,255
Selenidera maculirostris,2020-07-21,155,3610,153,3223,0,0,0
Terenura maculata,2020-07-21,145,6094,131,5935,1199,403,277
